date,series,venue,result
24/03/2011,2010-2011 ICC World Cup,Narendra Modi Stadium,India won by 5 wickets
05/02/2012,2011-2012 Commonwealth Bank Series,Melbourne Cricket Ground,Australia won by 65 runs
12/02/2012,2011-2012 Commonwealth Bank Series,Adelaide Oval,India won by 4 wickets
19/02/2012,2011-2012 Commonwealth Bank Series,Brisbane Cricket Ground,Australia won by 110 runs
26/02/2012,2011-2012 Commonwealth Bank Series,Sydney Cricket Ground,Australia won by 87 runs
13/10/2013,2013-2014 India v. Australia,Maharashtra Cricket Association Stadium,Australia won by 72 runs
16/10/2013,2013-2014 India v. Australia,Sawai Mansingh Stadium,India won by 9 wickets
19/10/2013,2013-2014 India v. Australia,Punjab Cricket Association IS Bindra Stadium,Australia won by 4 wickets
23/10/2013,2013-2014 India v. Australia,JSCA International Stadium Complex,No Result
30/10/2013,2013-2014 India v. Australia,Vidarbha Cricket Association Stadium,India won by 6 wickets
02/11/2013,2013-2014 India v. Australia,M Chinnaswamy Stadium,India won by 57 runs
18/01/2015,2014-2015 Carlton Mid International Tri Series,Melbourne Cricket Ground,Australia won by 4 wickets
26/01/2015,2014-2015 Carlton Mid International Tri Series,Sydney Cricket Ground,No Result
26/03/2015,2014-2015 ICC World Cup,Sydney Cricket Ground,Australia won by 95 runs
12/01/2016,2015-2016 Australia v. India,WACA Ground,Australia won by 5 wickets
15/01/2016,2015-2016 Australia v. India,Brisbane Cricket Ground,Australia won by 7 wickets
17/01/2016,2015-2016 Australia v. India,Melbourne Cricket Ground,Australia won by 3 wickets
20/01/2016,2015-2016 Australia v. India,Manuka Oval,Australia won by 25 runs
23/01/2016,2015-2016 Australia v. India,Sydney Cricket Ground,India won by 6 wickets
17/09/2017,2017-2018 India v. Australia,MA Chidambaram Stadium,India won by 26 runs
21/09/2017,2017-2018 India v. Australia,Eden Gardens,India won by 50 runs
24/09/2017,2017-2018 India v. Australia,Holkar Cricket Stadium,India won by 5 wickets
28/09/2017,2017-2018 India v. Australia,M Chinnaswamy Stadium,Australia won by 21 runs
01/10/2017,2017-2018 India v. Australia,Vidarbha Cricket Association Stadium,India won by 7 wickets
12/01/2019,2018-2019 Australia v. India,Sydney Cricket Ground,Australia won by 34 runs
15/01/2019,2018-2019 Australia v. India,Adelaide Oval,India won by 6 wickets
18/01/2019,2018-2019 Australia v. India,Melbourne Cricket Ground,India won by 7 wickets
02/03/2019,2018-2019 India v. Australia,Rajiv Gandhi International Stadium,India won by 6 wickets
05/03/2019,2018-2019 India v. Australia,Vidarbha Cricket Association Stadium,India won by 8 runs
08/03/2019,2018-2019 India v. Australia,JSCA International Stadium Complex,Australia won by 32 runs
10/03/2019,2018-2019 India v. Australia,Punjab Cricket Association IS Bindra Stadium,Australia won by 4 wickets
13/03/2019,2018-2019 India v. Australia,Arun Jaitley Stadium,Australia won by 35 runs
09/06/2019,2019 ICC World Cup,Kennington Oval,India won by 36 runs
14/01/2020,2019-2020 India v. Australia,Wankhede Stadium,Australia won by 10 wickets
17/01/2020,2019-2020 India v. Australia,Saurashtra Cricket Association Stadium,India won by 36 runs
19/01/2020,2019-2020 India v. Australia,M Chinnaswamy Stadium,India won by 7 wickets
27/11/2020,2020-2021 Australia v. India,Sydney Cricket Ground,Australia won by 66 runs
29/11/2020,2020-2021 Australia v. India,Sydney Cricket Ground,Australia won by 51 runs
02/12/2020,2020-2021 Australia v. India,Manuka Oval,India won by 13 runs
17/03/2023,2022-2023 India v. Australia,Wankhede Stadium,India won by 5 wickets
19/03/2023,2022-2023 India v. Australia,Dr YS Rajasekhara Reddy Cricket Stadium,Australia won by 10 wickets
22/03/2023,2022-2023 India v. Australia,MA Chidambaram Stadium,Australia won by 21 runs
22/09/2023,2023 India v. Australia,Punjab Cricket Association IS Bindra Stadium,India won by 5 wickets
24/09/2023,2023 India v. Australia,Holkar Cricket Stadium,India won by 99 runs
27/09/2023,2023 India v. Australia,Saurashtra Cricket Association Stadium,Australia won by 56 runs
08/10/2023,2023 ICC World Cup,MA Chidambaram Stadium,India won by 6 wickets
19/11/2023,2023 ICC World Cup,Narendra Modi Stadium,Australia won by 6 wickets
04/03/2025,2024-2025 ICC Champions Trophy,Dubai International Cricket Stadium,India won by 4 wickets
19/10/2025,2025 Australia v. India,Perth Stadium,Australia won by 7 wickets
23/10/2025,2025 Australia v. India,Adelaide Oval,Australia won by 2 wickets
25/10/2025,2025 Australia v. India,Sydney Cricket Ground,India won by 9 wickets
